Suburb,City,Price,SQFT,Price_per_sqft,Bedrooms,Bathrooms,Zip Code,House Type,Built,Remodeled,Country,Condition
International City,Dubai,"$305,000.00 ",743,$410.50 ,1,2,25315,Apartment,2017,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,300,000.00 ",1356,$958.70 ,2,3,25315,Apartment,2006,0,U.A.E,5
Old Town,Dubai,"$1,250,000.00 ",954,"$1,310.27 ",1,1,25315,Apartment,2010,0,U.A.E,5
Dubai Marina,Dubai,"$1,250,000.00 ",1348,$927.30 ,2,3,25315,Apartment,2006,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,350,000.00 ",2524,$931.06 ,3,4,25315,Apartment,2009,0,U.A.E,4
Dubai Marina,Dubai,"$1,400,000.00 ",822,"$1,703.16 ",1,2,25314,Apartment,2022,0,U.A.E,5
Dubai Marina,Dubai,"$2,750,000.00 ",1674,"$1,642.77 ",3,4,25315,Apartment,2023,0,U.A.E,5
Arjan,Dubai,"$683,001.00 ",561,"$1,217.47 ",1,1,25315,Apartment,2017,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$1,690,000.00 ",1877,$900.37 ,3,4,25315,Apartment,2019,0,U.A.E,4
Downtown Dubai,Dubai,"$1,450,000.00 ",1390,"$1,043.17 ",2,2,25315,Apartment,2021,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,606,000.00 ",1303,"$2,000.00 ",2,3,25314,Apartment,2014,0,U.A.E,5
The Views,Dubai,"$1,375,000.00 ",1349,"$1,019.27 ",2,2,25315,Apartment,2009,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,600,000.00 ",1475,"$1,762.71 ",2,3,25314,Apartment,2006,0,U.A.E,4
Palm Jumeirah,Dubai,"$7,649,000.00 ",2942,"$2,599.93 ",3,4,25315,Apartment,2019,0,U.A.E,5
Jumeirah Village Circle,Dubai,"$480,000.00 ",829,$579.01 ,1,2,25314,Apartment,2018,0,U.A.E,5
Dubai Marina,Dubai,"$2,400,000.00 ",1508,"$1,591.51 ",2,3,25314,Apartment,2019,0,U.A.E,5
Dubai Marina,Dubai,"$800,000.00 ",522,"$1,532.57 ",0,1,25314,Apartment,2013,0,U.A.E,5
Downtown Dubai,Dubai,"$10,820,000.00 ",2840,"$3,809.86 ",4,5,25315,Apartment,2018,0,U.A.E,4
Motor City,Dubai,"$629,000.00 ",1051,$598.48 ,1,1,25314,Apartment,2012,0,U.A.E,5
Dubai Sports City,Dubai,"$430,000.00 ",793,$542.24 ,1,2,25314,Apartment,2019,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$410,000.00 ",796,$515.08 ,1,2,25315,Apartment,2019,0,U.A.E,4
The Views,Dubai,"$1,690,000.00 ",1305,"$1,295.02 ",2,2,25315,Apartment,2005,0,U.A.E,5
Jumeirah Lake Towers,Dubai,"$400,888.00 ",415,$966.00 ,0,1,25315,Apartment,2022,0,U.A.E,5
Downtown Dubai,Dubai,"$2,100,000.00 ",1312,"$1,600.61 ",2,2,25314,Apartment,2014,0,U.A.E,5
DAMAC Hills,Dubai,"$650,000.00 ",825,$787.88 ,1,2,25315,Apartment,2008,0,U.A.E,4
Dubai Marina,Dubai,"$1,290,000.00 ",2173,$593.65 ,3,3,25314,Apartment,2022,0,U.A.E,5
Dubai Sports City,Dubai,"$420,000.00 ",768,$546.88 ,1,1,25315,Apartment,2022,0,U.A.E,4
Dubai Marina,Dubai,"$1,950,000.00 ",1410,"$1,382.98 ",2,3,25315,Apartment,2005,0,U.A.E,5
Downtown Dubai,Dubai,"$1,600,000.00 ",1450,"$1,103.45 ",2,3,25314,Apartment,2007,0,U.A.E,5
Dubai Marina,Dubai,"$685,000.00 ",844,$811.61 ,1,1,25315,Apartment,2017,0,U.A.E,5
Downtown Dubai,Dubai,"$1,399,900.00 ",767,"$1,825.16 ",1,2,25315,Apartment,2022,0,U.A.E,5
Downtown Dubai,Dubai,"$3,400,000.00 ",1703,"$1,996.48 ",3,4,25315,Apartment,2014,0,U.A.E,4
Downtown Dubai,Dubai,"$1,389,900.00 ",900,"$1,544.33 ",1,2,25314,Apartment,2010,0,U.A.E,4
Dubai Marina,Dubai,"$850,000.00 ",708,"$1,200.56 ",1,2,25314,Apartment,2018,0,U.A.E,5
Dubai Marina,Dubai,"$1,425,000.00 ",950,"$1,500.00 ",1,2,25314,Apartment,2020,0,U.A.E,4
Jumeirah Village Triangle,Dubai,"$462,888.00 ",402,"$1,151.46 ",1,2,25314,Apartment,2016,0,U.A.E,4
Mohammed Bin Rashid City,Dubai,"$825,828.00 ",539,"$1,532.15 ",0,1,25314,Apartment,2021,0,U.A.E,4
Dubai Production City (IMPZ),Dubai,"$850,000.00 ",1083,$784.86 ,2,2,25315,Apartment,2007,0,U.A.E,5
Dubai Marina,Dubai,"$3,050,000.00 ",3201,$952.83 ,4,5,25314,Apartment,2014,0,U.A.E,4
Mohammed Bin Rashid City,Dubai,"$808,520.00 ",492,"$1,643.33 ",1,1,25314,Apartment,2022,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,760,000.00 ",1943,$905.82 ,2,3,25315,Apartment,2015,0,U.A.E,4
Dubai Marina,Dubai,"$850,000.00 ",592,"$1,435.81 ",1,1,25315,Apartment,2014,0,U.A.E,5
Dubai Marina,Dubai,"$1,690,000.00 ",1176,"$1,437.07 ",2,2,25314,Apartment,2022,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$617,000.00 ",850,$725.88 ,1,2,25315,Apartment,2011,0,U.A.E,5
Downtown Dubai,Dubai,"$3,850,000.00 ",2024,"$1,902.17 ",3,3,25315,Apartment,2012,0,U.A.E,4
Dubai Marina,Dubai,"$1,355,000.00 ",1760,$769.89 ,2,3,25314,Apartment,2008,0,U.A.E,5
Downtown Dubai,Dubai,"$1,375,000.00 ",856,"$1,606.31 ",1,2,25314,Apartment,2019,0,U.A.E,4
Dubai Marina,Dubai,"$1,599,999.00 ",2172,$736.65 ,3,3,25314,Apartment,2020,0,U.A.E,5
Falcon City of Wonders,Dubai,"$863,400.00 ",549,"$1,572.68 ",1,2,25314,Apartment,2022,0,U.A.E,5
Falcon City of Wonders,Dubai,"$641,700.00 ",405,"$1,584.44 ",0,1,25314,Apartment,2019,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,250,000.00 ",1355,$922.51 ,1,1,25315,Apartment,2007,0,U.A.E,4
Dubai Marina,Dubai,"$3,200,000.00 ",2280,"$1,403.51 ",3,4,25315,Apartment,2019,0,U.A.E,4
Downtown Dubai,Dubai,"$1,700,000.00 ",1663,"$1,022.25 ",2,3,25315,Apartment,2007,0,U.A.E,5
Dubai Marina,Dubai,"$2,050,000.00 ",1500,"$1,366.67 ",2,3,25314,Apartment,2020,0,U.A.E,5
Business Bay,Dubai,"$1,441,498.00 ",1417,"$1,017.29 ",2,3,25314,Apartment,2017,0,U.A.E,4
Business Bay,Dubai,"$2,299,880.00 ",2370,$970.41 ,3,4,25314,Apartment,2006,0,U.A.E,5
Downtown Dubai,Dubai,"$1,789,000.00 ",986,"$1,814.40 ",1,2,25314,Apartment,2020,0,U.A.E,5
Dubai Marina,Dubai,"$3,450,000.00 ",1746,"$1,975.95 ",3,3,25314,Apartment,2008,0,U.A.E,4
Downtown Dubai,Dubai,"$3,094,900.00 ",1285,"$2,408.48 ",2,3,25314,Apartment,2021,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,890,000.00 ",1587,"$1,190.93 ",1,1,25314,Apartment,2017,0,U.A.E,4
Dubai Marina,Dubai,"$1,500,000.00 ",926,"$1,619.87 ",1,2,25314,Apartment,2017,0,U.A.E,4
Dubai Marina,Dubai,"$1,800,000.00 ",1056,"$1,704.55 ",2,2,25314,Apartment,2022,0,U.A.E,5
Palm Jumeirah,Dubai,"$5,790,000.00 ",3447,"$1,679.72 ",3,4,25315,Apartment,2015,0,U.A.E,4
Dubai Creek Harbour (The Lagoons),Dubai,"$2,800,000.00 ",1930,"$1,450.78 ",3,3,25314,Apartment,2009,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,800,000.00 ",2250,"$1,244.44 ",3,4,25314,Apartment,2009,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,399,999.00 ",2439,$984.01 ,3,4,25315,Apartment,2017,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$864,000.00 ",690,"$1,252.17 ",1,1,25314,Apartment,2022,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$1,540,000.00 ",640,"$2,406.25 ",1,2,25315,Apartment,2020,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$1,600,000.00 ",639,"$2,503.91 ",1,2,25315,Apartment,2023,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$2,320,000.00 ",1160,"$2,000.00 ",2,3,25315,Apartment,2017,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$2,320,000.00 ",1981,"$1,171.13 ",2,3,25314,Apartment,2018,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$2,450,000.00 ",1181,"$2,074.51 ",2,3,25315,Apartment,2017,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$2,450,000.00 ",1181,"$2,074.51 ",2,3,25315,Apartment,2016,0,U.A.E,5
Downtown Dubai,Dubai,"$2,700,000.00 ",1300,"$2,076.92 ",2,3,25314,Apartment,2009,0,U.A.E,4
Downtown Dubai,Dubai,"$2,167,888.00 ",800,"$2,709.86 ",1,2,25315,Apartment,2022,0,U.A.E,5
Downtown Dubai,Dubai,"$1,700,000.00 ",977,"$1,740.02 ",1,2,25314,Apartment,2011,0,U.A.E,4
Dubai Creek Harbour (The Lagoons),Dubai,"$1,667,888.00 ",1170,"$1,425.55 ",2,3,25314,Apartment,2021,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,399,888.00 ",820,"$1,707.18 ",1,2,25314,Apartment,2018,0,U.A.E,4
Dubai Hills Estate,Dubai,"$1,051,888.00 ",727,"$1,446.89 ",2,3,25315,Apartment,2005,0,U.A.E,4
Dubai Hills Estate,Dubai,"$1,050,888.00 ",723,"$1,453.51 ",2,3,25314,Apartment,2018,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,021,888.00 ",742,"$1,377.21 ",2,3,25314,Apartment,2023,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,040,000.00 ",643,"$1,617.42 ",1,2,25315,Apartment,2006,0,U.A.E,4
Dubai Marina,Dubai,"$1,964,888.00 ",992,"$1,980.73 ",1,2,25314,Apartment,2023,0,U.A.E,4
Dubai Harbour,Dubai,"$1,370,888.00 ",746,"$1,837.65 ",1,2,25314,Apartment,2010,0,U.A.E,5
Dubai Harbour,Dubai,"$1,722,888.00 ",789,"$2,183.63 ",1,2,25315,Apartment,2022,0,U.A.E,5
Dubai Harbour,Dubai,"$1,949,888.00 ",1139,"$1,711.93 ",2,3,25315,Apartment,2015,0,U.A.E,4
Dubai Harbour,Dubai,"$4,000,000.00 ",2097,"$1,907.49 ",3,4,25314,Apartment,2019,0,U.A.E,5
Dubai Harbour,Dubai,"$1,500,000.00 ",745,"$2,013.42 ",1,2,25315,Apartment,2021,0,U.A.E,4
Dubai Harbour,Dubai,"$1,150,000.00 ",729,"$1,577.50 ",1,2,25315,Apartment,2005,0,U.A.E,4
Dubai Creek Harbour (The Lagoons),Dubai,"$2,500,000.00 ",1501,"$1,665.56 ",2,3,25315,Apartment,2015,0,U.A.E,4
Dubai Creek Harbour (The Lagoons),Dubai,"$1,739,999.00 ",1143,"$1,522.31 ",2,3,25315,Apartment,2020,0,U.A.E,4
Business Bay,Dubai,"$5,460,661.00 ",1400,"$3,900.47 ",2,3,25315,Apartment,2012,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,471,888.00 ",996,"$1,477.80 ",2,3,25314,Apartment,2016,0,U.A.E,4
Dubai Hills Estate,Dubai,"$1,165,000.00 ",998,"$1,167.33 ",2,3,25315,Apartment,2007,0,U.A.E,4
Dubai Marina,Dubai,"$1,900,000.00 ",2352,$807.82 ,2,3,25314,Apartment,2019,0,U.A.E,4
Dubai Creek Harbour (The Lagoons),Dubai,"$3,621,888.00 ",1847,"$1,960.96 ",3,4,25315,Apartment,2021,0,U.A.E,4
Downtown Dubai,Dubai,"$1,780,888.00 ",998,"$1,784.46 ",2,3,25315,Apartment,2018,0,U.A.E,4
Downtown Dubai,Dubai,"$1,780,888.00 ",994,"$1,791.64 ",2,3,25314,Apartment,2014,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$2,042,888.00 ",1393,"$1,466.54 ",3,4,25315,Apartment,2010,0,U.A.E,4
Jumeirah,Dubai,"$1,710,000.00 ",1301,"$1,314.37 ",2,3,25314,Apartment,2016,0,U.A.E,5
Jumeirah,Dubai,"$6,400,000.00 ",2932,"$2,182.81 ",4,5,25314,Apartment,2014,0,U.A.E,5
Jumeirah,Dubai,"$1,234,000.00 ",817,"$1,510.40 ",1,2,25314,Apartment,2020,0,U.A.E,4
Jumeirah,Dubai,"$1,737,000.00 ",1290,"$1,346.51 ",2,3,25315,Apartment,2023,0,U.A.E,5
Jumeirah,Dubai,"$1,459,000.00 ",794,"$1,837.53 ",1,2,25314,Apartment,2023,0,U.A.E,5
Jumeirah,Dubai,"$1,868,000.00 ",1216,"$1,536.18 ",2,3,25314,Apartment,2018,0,U.A.E,5
Umm Suqeim,Dubai,"$2,008,000.00 ",1348,"$1,489.61 ",2,3,25315,Apartment,2010,0,U.A.E,4
Business Bay,Dubai,"$1,592,892.00 ",1323,"$1,204.00 ",2,3,25314,Apartment,2021,0,U.A.E,4
Business Bay,Dubai,"$1,650,000.00 ",1300,"$1,269.23 ",2,3,25314,Apartment,2019,0,U.A.E,4
Palm Jumeirah,Dubai,"$649,888.00 ",314,"$2,069.71 ",0,1,25315,Apartment,2017,0,U.A.E,5
Palm Jumeirah,Dubai,"$876,888.00 ",353,"$2,484.10 ",0,1,25315,Apartment,2008,0,U.A.E,5
Dubai Marina,Dubai,"$1,600,000.00 ",975,"$1,641.03 ",1,2,25315,Apartment,2020,0,U.A.E,5
Dubai Harbour,Dubai,"$1,750,000.00 ",1109,"$1,578.00 ",2,3,25315,Apartment,2009,0,U.A.E,5
Downtown Dubai,Dubai,"$1,950,000.00 ",1120,"$1,741.07 ",2,2,25314,Apartment,2011,0,U.A.E,5
Downtown Dubai,Dubai,"$1,550,000.00 ",1216,"$1,274.67 ",2,3,25314,Apartment,2015,0,U.A.E,4
Dubai Silicon Oasis,Dubai,"$850,000.00 ",1650,$515.15 ,2,3,25314,Apartment,2013,0,U.A.E,5
Culture Village,Dubai,"$1,500,000.00 ",1357,"$1,105.38 ",2,3,25314,Apartment,2020,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$657,903.00 ",851,$773.09 ,1,2,25314,Apartment,2017,0,U.A.E,5
Jumeirah,Dubai,"$1,367,000.00 ",818,"$1,671.15 ",1,1,25314,Apartment,2019,0,U.A.E,5
Downtown Dubai,Dubai,"$18,614,888.00 ",5383,"$3,458.09 ",4,6,25315,Apartment,2012,0,U.A.E,5
Mina Rashid,Dubai,"$1,500,888.00 ",2070,$725.07 ,2,2,25314,Apartment,2023,0,U.A.E,4
Dubai Sports City,Dubai,"$520,000.00 ",1071,$485.53 ,2,3,25314,Apartment,2009,0,U.A.E,4
Dubai Marina,Dubai,"$1,900,000.00 ",2314,$821.09 ,2,2,25314,Apartment,2014,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,750,000.00 ",1750,"$1,000.00 ",2,3,25314,Apartment,2012,0,U.A.E,4
Al Barari,Dubai,"$4,500,000.00 ",3845,"$1,170.35 ",3,4,25314,Apartment,2013,0,U.A.E,4
Dubai Marina,Dubai,"$3,000,000.00 ",3180,$943.40 ,4,4,25315,Apartment,2013,0,U.A.E,4
Downtown Dubai,Dubai,"$12,930,000.00 ",3049,"$4,240.73 ",4,6,25315,Apartment,2009,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,750,000.00 ",1606,"$1,089.66 ",3,3,25314,Apartment,2010,0,U.A.E,5
The Views,Dubai,"$1,375,000.00 ",1380,$996.38 ,2,3,25314,Apartment,2021,0,U.A.E,5
Bluewaters,Dubai,"$3,100,000.00 ",1488,"$2,083.33 ",2,3,25315,Apartment,2015,0,U.A.E,5
Downtown Dubai,Dubai,"$1,690,000.00 ",1150,"$1,469.57 ",2,2,25314,Apartment,2016,0,U.A.E,5
Business Bay,Dubai,"$799,900.00 ",989,$808.80 ,1,1,25314,Apartment,2006,0,U.A.E,5
Town Square,Dubai,"$580,000.00 ",631,$919.18 ,1,1,25314,Apartment,2020,0,U.A.E,4
Old Town,Dubai,"$1,700,000.00 ",1335,"$1,273.41 ",2,3,25314,Apartment,2008,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,699,000.00 ",1338,"$1,269.81 ",1,2,25315,Apartment,2008,0,U.A.E,4
Downtown Dubai,Dubai,"$1,400,000.00 ",1299,"$1,077.75 ",2,3,25314,Apartment,2021,0,U.A.E,4
Dubai Marina,Dubai,"$2,450,000.00 ",2204,"$1,111.62 ",3,4,25314,Apartment,2008,0,U.A.E,5
City Walk,Dubai,"$2,298,999.00 ",1862,"$1,234.69 ",2,3,25315,Apartment,2009,0,U.A.E,4
Business Bay,Dubai,"$605,000.00 ",513,"$1,179.34 ",0,1,25315,Apartment,2016,0,U.A.E,5
Dubai Silicon Oasis,Dubai,"$599,000.00 ",885,$676.84 ,1,2,25315,Apartment,2011,0,U.A.E,5
Downtown Dubai,Dubai,"$4,681,888.00 ",1720,"$2,722.03 ",2,3,25314,Apartment,2009,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$2,500,000.00 ",1817,"$1,375.89 ",2,3,25315,Apartment,2012,0,U.A.E,4
Dubai Marina,Dubai,"$1,800,000.00 ",1281,"$1,405.15 ",2,3,25315,Apartment,2022,0,U.A.E,4
Dubai Marina,Dubai,"$1,890,000.00 ",1255,"$1,505.98 ",2,3,25315,Apartment,2013,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,750,000.00 ",1812,$965.78 ,2,3,25315,Apartment,2005,0,U.A.E,4
Downtown Dubai,Dubai,"$1,100,000.00 ",730,"$1,506.85 ",1,1,25315,Apartment,2013,0,U.A.E,4
Dubai Hills Estate,Dubai,"$900,000.00 ",989,$910.01 ,1,1,25315,Apartment,2013,0,U.A.E,4
Green Community,Dubai,"$1,295,000.00 ",2554,$507.05 ,3,2,25315,Apartment,2011,0,U.A.E,5
Dubai Marina,Dubai,"$1,640,000.00 ",1302,"$1,259.60 ",2,3,25315,Apartment,2014,0,U.A.E,5
Jumeirah,Dubai,"$1,200,000.00 ",733,"$1,637.11 ",1,2,25315,Apartment,2013,0,U.A.E,5
Dubai Silicon Oasis,Dubai,"$350,000.00 ",535,$654.21 ,0,1,25315,Apartment,2009,0,U.A.E,4
Dubai Marina,Dubai,"$1,150,000.00 ",1210,$950.41 ,2,4,25315,Apartment,2007,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$589,000.00 ",844,$697.87 ,1,2,25315,Apartment,2010,0,U.A.E,4
Dubai Marina,Dubai,"$1,670,000.00 ",1366,"$1,222.55 ",2,3,25314,Apartment,2009,0,U.A.E,4
Motor City,Dubai,"$1,550,000.00 ",2931,$528.83 ,3,3,25314,Apartment,2011,0,U.A.E,5
Downtown Dubai,Dubai,"$1,650,000.00 ",872,"$1,892.20 ",1,2,25314,Apartment,2011,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,650,000.00 ",1493,"$1,774.95 ",2,2,25314,Apartment,2017,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,930,000.00 ",2046,$943.30 ,2,3,25314,Apartment,2021,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$368,000.00 ",385,$955.84 ,0,1,25314,Apartment,2020,0,U.A.E,4
Downtown Dubai,Dubai,"$5,500,000.00 ",2285,"$2,407.00 ",4,4,25314,Apartment,2023,0,U.A.E,4
Downtown Dubai,Dubai,"$3,900,000.00 ",1978,"$1,971.69 ",3,4,25315,Apartment,2023,0,U.A.E,5
Dubai Marina,Dubai,"$1,500,000.00 ",1727,$868.56 ,2,3,25314,Apartment,2017,0,U.A.E,5
Downtown Dubai,Dubai,"$1,650,000.00 ",1104,"$1,494.57 ",2,3,25315,Apartment,2006,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$1,150,000.00 ",1607,$715.62 ,3,4,25315,Apartment,2017,0,U.A.E,5
Jumeirah,Dubai,"$1,890,000.00 ",1023,"$1,847.51 ",2,3,25315,Apartment,2012,0,U.A.E,4
Downtown Dubai,Dubai,"$15,800,000.00 ",5253,"$3,007.81 ",4,5,25315,Apartment,2019,0,U.A.E,5
Downtown Dubai,Dubai,"$3,000,000.00 ",1317,"$2,277.90 ",2,3,25314,Apartment,2007,0,U.A.E,4
Downtown Dubai,Dubai,"$4,000,000.00 ",1908,"$2,096.44 ",3,3,25314,Apartment,2017,0,U.A.E,4
Dubai Marina,Dubai,"$1,625,000.00 ",875,"$1,857.14 ",1,2,25314,Apartment,2009,0,U.A.E,4
Downtown Dubai,Dubai,"$2,243,000.00 ",1293,"$1,734.73 ",2,2,25315,Apartment,2009,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$800,000.00 ",1028,$778.21 ,1,2,25314,Apartment,2012,0,U.A.E,5
Downtown Dubai,Dubai,"$2,650,000.00 ",1616,"$1,639.85 ",3,4,25314,Apartment,2005,0,U.A.E,5
Downtown Dubai,Dubai,"$1,239,000.00 ",747,"$1,658.63 ",1,1,25314,Apartment,2021,0,U.A.E,4
Downtown Dubai,Dubai,"$4,100,000.00 ",1774,"$2,311.16 ",2,3,25315,Apartment,2019,0,U.A.E,4
Dubai Hills Estate,Dubai,"$2,600,888.00 ",1583,"$1,643.01 ",3,3,25315,Apartment,2023,0,U.A.E,4
Jumeirah,Dubai,"$1,200,000.00 ",733,"$1,637.11 ",1,1,25315,Apartment,2010,0,U.A.E,4
Palm Jumeirah,Dubai,"$3,150,000.00 ",1645,"$1,914.89 ",2,2,25315,Apartment,2007,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$1,100,000.00 ",1101,$999.09 ,1,2,25315,Apartment,2006,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$2,499,000.00 ",1463,"$1,708.13 ",2,3,25314,Apartment,2018,0,U.A.E,4
Dubai Hills Estate,Dubai,"$1,061,888.00 ",730,"$1,454.64 ",2,2,25315,Apartment,2013,0,U.A.E,4
Town Square,Dubai,"$930,888.00 ",930,"$1,000.95 ",2,2,25314,Apartment,2022,0,U.A.E,5
Town Square,Dubai,"$453,888.00 ",339,"$1,338.90 ",0,1,25314,Apartment,2021,0,U.A.E,4
Dubai Hills Estate,Dubai,"$2,040,888.00 ",1607,"$1,270.00 ",3,3,25315,Apartment,2023,0,U.A.E,5
Dubai Marina,Dubai,"$1,100,000.00 ",829,"$1,326.90 ",2,2,25314,Apartment,2011,0,U.A.E,4
Mohammed Bin Rashid City,Dubai,"$1,261,142.00 ",742,"$1,699.65 ",1,2,25314,Apartment,2017,0,U.A.E,4
Dubai Marina,Dubai,"$1,170,000.00 ",980,"$1,193.88 ",1,2,25314,Apartment,2011,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,499,000.00 ",1367,"$1,828.09 ",2,5,25314,Apartment,2019,0,U.A.E,5
Al Kifaf,Dubai,"$1,642,777.00 ",998,"$1,646.07 ",1,2,25314,Apartment,2007,0,U.A.E,4
Dubai Hills Estate,Dubai,"$1,450,000.00 ",1487,$975.12 ,2,3,25315,Apartment,2012,0,U.A.E,5
Mohammed Bin Rashid City,Dubai,"$1,276,686.00 ",760,"$1,679.85 ",1,2,25314,Apartment,2023,0,U.A.E,5
Al Kifaf,Dubai,"$1,550,000.00 ",990,"$1,565.66 ",1,2,25314,Apartment,2014,0,U.A.E,5
Al Kifaf,Dubai,"$2,046,777.00 ",1634,"$1,252.62 ",2,3,25315,Apartment,2023,0,U.A.E,4
City Walk,Dubai,"$3,700,000.00 ",2270,"$1,629.96 ",3,4,25315,Apartment,2005,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,800,000.00 ",2156,"$1,298.70 ",3,4,25315,Apartment,2023,0,U.A.E,4
Downtown Dubai,Dubai,"$2,999,900.00 ",1778,"$1,687.23 ",2,3,25315,Apartment,2021,0,U.A.E,4
Dubai Marina,Dubai,"$2,650,000.00 ",1786,"$1,483.76 ",3,4,25314,Apartment,2010,0,U.A.E,5
Palm Jumeirah,Dubai,"$3,500,000.00 ",1766,"$1,981.88 ",2,3,25315,Apartment,2013,0,U.A.E,5
DIFC,Dubai,"$1,300,000.00 ",1133,"$1,147.40 ",1,2,25314,Apartment,2021,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$2,950,000.00 ",1503,"$1,962.74 ",2,3,25314,Apartment,2022,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$1,780,000.00 ",1028,"$1,731.52 ",1,2,25315,Apartment,2019,0,U.A.E,4
Meydan,Dubai,"$675,000.00 ",826,$817.19 ,1,1,25314,Apartment,2019,0,U.A.E,4
DIFC,Dubai,"$1,450,000.00 ",1274,"$1,138.15 ",1,2,25315,Apartment,2018,0,U.A.E,4
Downtown Dubai,Dubai,"$1,010,000.00 ",860,"$1,174.42 ",1,2,25314,Apartment,2013,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$5,750,000.00 ",2574,"$2,233.88 ",3,5,25314,Apartment,2019,0,U.A.E,5
DIFC,Dubai,"$1,250,000.00 ",1133,"$1,103.27 ",1,2,25315,Apartment,2016,0,U.A.E,4
Downtown Dubai,Dubai,"$4,649,900.00 ",2663,"$1,746.11 ",3,4,25314,Apartment,2012,0,U.A.E,4
Dubai Marina,Dubai,"$1,250,000.00 ",1210,"$1,033.06 ",2,3,25315,Apartment,2013,0,U.A.E,4
Downtown Dubai,Dubai,"$2,049,999.00 ",1039,"$1,973.05 ",2,3,25315,Apartment,2023,0,U.A.E,5
Town Square,Dubai,"$888,000.00 ",888,"$1,000.00 ",2,2,25314,Apartment,2021,0,U.A.E,5
Business Bay,Dubai,"$16,950,000.00 ",4907,"$3,454.25 ",3,3,25315,Apartment,2012,0,U.A.E,5
Business Bay,Dubai,"$30,950,000.00 ",7922,"$3,906.84 ",4,4,25314,Apartment,2022,0,U.A.E,5
Dubai Harbour,Dubai,"$1,225,000.00 ",735,"$1,666.67 ",1,2,25315,Apartment,2008,0,U.A.E,4
Downtown Dubai,Dubai,"$2,577,888.00 ",1352,"$1,906.72 ",3,4,25315,Apartment,2013,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,025,888.00 ",720,"$1,424.84 ",1,2,25314,Apartment,2008,0,U.A.E,4
Dubai Marina,Dubai,"$913,548.00 ",529,"$1,726.93 ",0,1,25314,Apartment,2012,0,U.A.E,4
Downtown Dubai,Dubai,"$2,250,000.00 ",1700,"$1,323.53 ",2,3,25314,Apartment,2007,0,U.A.E,5
DIFC,Dubai,"$1,275,000.00 ",893,"$1,427.77 ",1,1,25315,Apartment,2020,0,U.A.E,4
DAMAC Hills,Dubai,"$350,000.00 ",527,$664.14 ,0,1,25314,Apartment,2022,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$780,000.00 ",707,"$1,103.25 ",1,1,25314,Apartment,2017,0,U.A.E,4
Downtown Dubai,Dubai,"$1,650,000.00 ",1049,"$1,572.93 ",2,3,25314,Apartment,2019,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$424,340.00 ",385,"$1,102.18 ",0,1,25315,Apartment,2023,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,800,000.00 ",1100,"$1,636.36 ",1,2,25315,Apartment,2005,0,U.A.E,4
