Suburb,City,Price,SQFT,Price_per_sqft,Bedrooms,Bathrooms,Zip Code,House Type,Built,Remodeled,Country,Condition
DAMAC Hills,Dubai,"$365,000.00 ",451,$809.31 ,0,1,25314,Apartment,2017,0,U.A.E,5
Palm Jumeirah,Dubai,"$1,980,000.00 ",935,"$2,117.65 ",1,1,25315,Apartment,2007,0,U.A.E,4
Dubai Marina,Dubai,"$2,300,000.00 ",775,"$2,967.74 ",1,2,25315,Apartment,2018,0,U.A.E,5
Dubai Marina,Dubai,"$2,200,000.00 ",1277,"$1,722.79 ",2,3,25314,Apartment,2007,0,U.A.E,5
Dubai Creek Harbour (The Lagoons),Dubai,"$1,270,000.00 ",981,"$1,294.60 ",1,2,25314,Apartment,2006,0,U.A.E,5
Jumeirah Beach Residence,Dubai,"$2,650,000.00 ",1703,"$1,556.08 ",2,2,25315,Apartment,2007,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$375,000.00 ",450,$833.33 ,0,1,25314,Apartment,2011,0,U.A.E,5
Jumeirah Golf Estates,Dubai,"$1,150,000.00 ",1367,$841.26 ,2,3,25315,Apartment,2020,0,U.A.E,4
Business Bay,Dubai,"$2,400,000.00 ",1965,"$1,221.37 ",3,4,25315,Apartment,2018,0,U.A.E,4
Business Bay,Dubai,"$1,700,000.00 ",1358,"$1,251.84 ",2,3,25315,Apartment,2011,0,U.A.E,4
Business Bay,Dubai,"$1,709,847.00 ",1367,"$1,250.80 ",2,3,25314,Apartment,2019,0,U.A.E,5
Jumeirah,Dubai,"$12,000,000.00 ",2631,"$4,561.00 ",3,5,25315,Apartment,2010,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,850,000.00 ",1993,$928.25 ,3,4,25315,Apartment,2018,0,U.A.E,5
Umm Suqeim,Dubai,"$2,090,000.00 ",1365,"$1,531.14 ",2,3,25315,Apartment,2013,0,U.A.E,5
Meydan,Dubai,"$1,425,000.00 ",1535,$928.34 ,2,3,25315,Apartment,2015,0,U.A.E,5
Dubai Marina,Dubai,"$1,595,000.00 ",1350,"$1,181.48 ",2,2,25314,Apartment,2018,0,U.A.E,4
Dubai Marina,Dubai,"$975,000.00 ",627,"$1,555.02 ",1,1,25314,Apartment,2013,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$3,400,000.00 ",1672,"$2,033.49 ",2,3,25315,Apartment,2022,0,U.A.E,5
Business Bay,Dubai,"$2,050,000.00 ",2197,$933.09 ,3,4,25315,Apartment,2019,0,U.A.E,4
Motor City,Dubai,"$995,000.00 ",1670,$595.81 ,2,1,25314,Apartment,2018,0,U.A.E,5
Dubai Hills Estate,Dubai,"$1,300,000.00 ",1182,"$1,099.83 ",2,3,25314,Apartment,2011,0,U.A.E,5
Motor City,Dubai,"$1,100,000.00 ",1670,$658.68 ,2,3,25314,Apartment,2005,0,U.A.E,5
DAMAC Hills,Dubai,"$750,000.00 ",851,$881.32 ,1,2,25314,Apartment,2009,0,U.A.E,4
DIFC,Dubai,"$1,999,999.00 ",1755,"$1,139.60 ",2,2,25314,Apartment,2017,0,U.A.E,4
Downtown Dubai,Dubai,"$2,990,000.00 ",1903,"$1,571.20 ",3,4,25314,Apartment,2018,0,U.A.E,5
Palm Jumeirah,Dubai,"$2,400,000.00 ",1717,"$1,397.79 ",2,3,25315,Apartment,2006,0,U.A.E,4
